INST_NO,inst_name,LATITUDE,LONGITUDE
1030,Brightshores Health System-Lion's Head,44.985857885,-81.24904714
1059,St. Thomas Elgin General Hospital,42.76425312,-81.18148333
1060,St. Thomas Elgin General Hospital,42.76425312,-81.18148333
1067,Erie Shores Healthcare,42.049349111,-82.61491544
1068,Erie Shores Healthcare,42.049349111,-82.61491544
10718,Southlake Regional Health Centre-AHF-Sunrise TCU,43.990156,-79.466746
10719,Oak Valley Health-AHF-Sunrise of Richmond Hill,43.86594,-79.436907
10720,Orillia Soldiers' Memorial-AHF-Champlain Manor,44.619526,-79.437636
10721,Orillia Soldiers' Memorial-AHF-Lake Simcoe Retirement Residence & Assisted Living,44.595193,-79.407058
10722,St. Josephs Hamilton-AHF-St. Joseph's Villa,43.2617504,-79.9576976
10724,Hamilton Health Sciences-AHF-St. Joseph's Villa,43.2617504,-79.9576976
1079,Windsor Regional Hospital-Metropolitan,42.300944184,-82.99657898
1100,Kingston General Hospital,44.22454365,-76.49286687
1112,Providence Care Hospital,44.220393906,-76.5259062
1124,Hanover and District Hospital,44.14202762,-81.02820725
1125,Hanover and District Hospital,44.14202762,-81.02820725
1146,Haldimand War Memorial Hospital,42.906005704,-79.62425483
1147,Haldimand War Memorial Hospital,42.906005704,-79.62425483
1149,West Haldimand General,42.957623199,-80.04546604
1150,West Haldimand General,42.957623199,-80.04546604
1160,Joseph Brant Hospital,43.317733841,-79.80366892
1161,Joseph Brant Hospital,43.317733841,-79.80366892
1199,Clinton Public Hospital,43.621385113,-81.54264245
1200,Clinton Public Hospital,43.621385113,-81.54264245
1203,South Huron Hospital,43.343683613,-81.48103731
1204,South Huron Hospital,43.343683613,-81.48103731
1206,Alexandra Marine and General Hospital,43.750284855,-81.70601579
1207,Alexandra Marine and General Hospital,43.750284855,-81.70601579
1213,Seaforth Community Hospital,43.551629267,-81.38571314
1214,Seaforth Community Hospital,43.551629267,-81.38571314
1217,Wingham and District Hospital,43.884610529,-81.30621636
1218,Wingham and District Hospital,43.884610529,-81.30621636
1223,Chatham-Kent Health Alliance - Chatham Site,42.40587608,-82.19401363
1228,Chatham-Kent Health Alliance - Chatham Site,42.40587608,-82.19401363
1239,Chatham-Kent Health Alliance - Sydenham Site,42.59737851,-82.3668958
1254,Almonte General Hospital,45.228483727,-76.18993598
1256,Carleton Place and District Memorial Hospital,45.140770726,-76.13611544
1269,Perth and Smiths Falls District Hospital - Smiths Falls,44.90657649,-76.02532287
1273,Brockville General Hospital,44.59786157,-75.68209183
1284,Kemptville District Hospital,45.009416053,-75.64147415
1285,Kemptville District Hospital,45.009416053,-75.64147415
1295,Lennox and Addington County General Hospital,44.240369305,-76.96588938
1296,Lennox and Addington County General Hospital,44.240369305,-76.96588938
